id,job_title,location,connection,fit,job_title_cleaned,role_level,location_cleaned,connections_numeric,connections_log,bert_similarity,fitness_score,rank,is_starred
,,,,,junior me engin inform system,junior,"Myrtle Beach, SC",52,3.970291914,0.61769104,0.20479697,77,FALSE
,,,,,human resourc coordin intercontinent buckhead atlanta,mid,"Atlanta, GA",550,6.311734809,0.79502165,0.20104572,78,FALSE
,,,,,human resourc coordin intercontinent buckhead atlanta,mid,"Atlanta, GA",550,6.311734809,0.79502165,0.20104572,79,FALSE
,,,,,human resourc coordin intercontinent buckhead atlanta,mid,"Atlanta, GA",550,6.311734809,0.79502165,0.20104572,80,FALSE
,,,,,human resourc coordin intercontinent buckhead atlanta,mid,"Atlanta, GA",550,6.311734809,0.79502165,0.20104572,81,FALSE
,,,,,student westfield state univers,intern,"Bridgewater, MA",57,4.060443011,0.4648878,0.19879618,82,FALSE
,,,,,human resourc manag endemol shine north america,mid,"Los Angeles, CA",268,5.59471138,0.7803966,0.18770327,83,FALSE
,,,,,busi intellig analyt travel,junior,"New York, NY",49,3.912023005,0.6037015,0.17964686,84,FALSE
,,,,,director administr excel log,executive,"Katy, TX",550,6.311734809,0.62274194,0.17851898,85,FALSE
,,,,,senior vice presid chief human resourc offic market commun csr offic engi houston woodland energi gphr sphr,executive,"Houston, TX",550,6.311734809,0.7468645,0.16956273,86,FALSE
,,,,,senior vice presid chief human resourc offic market commun csr offic engi houston woodland energi gphr sphr,executive,"Houston, TX",550,6.311734809,0.7468645,0.16956273,87,FALSE
,,,,,senior vice presid chief human resourc offic market commun csr offic engi houston woodland energi gphr sphr,executive,"Houston, TX",550,6.311734809,0.7468645,0.16956273,88,FALSE
,,,,,senior vice presid chief human resourc offic market commun csr offic engi houston woodland energi gphr sphr,executive,"Houston, TX",550,6.311734809,0.7468645,0.16956273,89,FALSE
,,,,,human resourc generalist loparex,junior,"Raleigh, NC",550,6.311734809,0.7975513,0.16333349,90,FALSE
,,,,,student indiana univers kokomo busi manag retail manag delphi hardwar paint,mid,"Lafayette, IN",19,2.995732274,0.55894035,0.11919649,91,FALSE
,,,,,human resourc senior specialist,senior,"San Francisco, CA",550,6.311734809,0.78396237,0.10873441,92,FALSE
,,,,,human resourc senior specialist,senior,"San Francisco, CA",550,6.311734809,0.78396237,0.10873441,93,FALSE
,,,,,human resourc senior specialist,senior,"San Francisco, CA",550,6.311734809,0.78396237,0.10873441,94,FALSE
,,,,,human resourc senior specialist,senior,"San Francisco, CA",550,6.311734809,0.78396237,0.10873441,95,FALSE
,,,,,human resourc senior specialist,senior,"San Francisco, CA",550,6.311734809,0.78396237,0.10873441,96,FALSE
,,,,,retir armi nation guard recruit offic manag seek posit human resourc,mid,"Virginia Beach, VA",82,4.418840608,0.66111857,0.085328184,97,FALSE
,,,,,human resourc conflict manag polici procedur talent manag benefit compens,junior,"Dallas, TX",409,6.01615716,0.67524654,0.0801749,98,FALSE
,,,,,seek human resourc opportun open travel reloc,junior,United States,415,6.03068526,0.70675325,0.07383129,99,FALSE
,,,,,seek human resourc human resourc inform system generalist posit,junior,"Philadelphia, PA",550,6.311734809,0.7520538,0.038316336,100,FALSE
,,,,,seek human resourc human resourc inform system generalist posit,junior,"Philadelphia, PA",550,6.311734809,0.7520538,0.038316336,101,FALSE
,,,,,seek human resourc human resourc inform system generalist posit,junior,"Philadelphia, PA",550,6.311734809,0.7520538,0.038316336,102,FALSE
,,,,,seek human resourc human resourc inform system generalist posit,junior,"Philadelphia, PA",550,6.311734809,0.7520538,0.038316336,103,FALSE
,,,,,inform system specialist programm love data organ,mid,"Gaithersburg, MD",4,1.609437912,0.6224495,0,104,FALSE
